	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
R01-042	11208293307	9427741517	-466408.1418	-1024	-736	195	2378	-142.4834202	-17	452	3402	288.5038073	199.7117763	384.9561029	357.6166609	-0.792236032	3.261194729	127889.6761	8554048	87185.2586	63618.7653	10094.1498	0.115778171	0.941983044	0.048502431	0.835851751	1.061590233	184.8485205	52.320652	40.61245749	0.874808696	0.776222313
R01-043	1635231754	2193017261	-11305.39015	-994	-839	-74	58	-534.9529962	-615	456	1052	241.2837384	191.336876	603.5522222	279.4648042	0.556007256	2.010503183	78100.57676	30413	9539.055949	6020.220094	3022.684642	0.316874611	0.719606177	0.032384799	0.372635861	1.389648995	141.1934375	51.0439937	13.69483864	0.349847739	0.268294811
R01-044	754169108	1116505816	-3608.936959	-876	-798.9	-240.1	12	-590.0041841	-662	282	888	174.3546156	122.1287931	628.0445128	215.2555987	1.064691504	3.205441948	46334.97279	8830	4030.01788	2830.610734	1415.852635	0.351326638	0.864975991	0.042678088	0.647160735	1.156101453	81.76112129	23.23654605	12.97196019	0.770274441	0.558256815
R01-045	4242758347	3916730957	-49413.22829	-1024	-839	86	730	-428.599781	-513.5	644	1754	310.181855	250.6412021	556.4983291	354.9543886	0.369815338	1.878699949	125992.618	195598	24326.71865	12647.24731	4632.028782	0.190409107	0.87653359	0.043536321	0.673450516	1.140857591	142.912301	38.49893637	20.14822292	0.785990881	0.523344924
R01-046	1323703083	1221985421	-19019.85062	-1024	-796.8	135	628	-248.9971111	-120	606	1652	315.0192879	250.542433	437.2684312	359.4497456	-0.497776846	1.985569551	129204.1196	58355	13031.58824	6391.014099	3588.30444	0.275354345	0.746322282	0.034204913	0.415699234	1.339903717	141.2100676	34.32920451	16.32260734	0.539602118	0.475472927
R01-047	2166318211	1652769631	-49517.07868	-1024	-777	181	661	-167.6621489	-14	534	1685	310.2272699	229.8574926	403.8738524	367.428214	-0.799499164	2.480764179	135003.4924	260953	14382.93457	10132.59888	3231.95237	0.224707437	0.884947505	0.044164685	0.693030786	1.130010531	115.0666417	34.69124066	16.35470873	0.854851888	0.471436259
R01-048	1094277654	674589714	-29160.89318	-984	-702	87	194	-196.0418758	-31	516	1178	272.1812304	218.9298363	366.0433215	309.1201969	-0.775586777	2.122719975	95555.29615	148773	6606.09613	5034.713242	1866.730247	0.282576912	0.912079062	0.046211238	0.758747824	1.09639618	80.77354178	21.77107511	18.28531711	0.928449844	0.839890406
R01-049	624668685	414363910.5	-9569.581095	-860	-627	45	248	-298.4717782	-323	484	1108	230.0679802	191.5067047	394.9824807	258.7001308	0.021691125	1.675718158	66925.7577	23944	3240.386066	2655.988907	1142.034295	0.352437726	0.927262755	0.047369969	0.797275553	1.078442971	62.23559563	17.94057168	13.79141416	0.923647849	0.768727686
R01-050	1860884780	1149991357	-24022.18388	-1024	-838	60	607	-333.9719817	-248	672.25	1631	322.1626078	274.9429157	486.8213277	354.2001137	-0.304243618	1.601257794	125457.7206	80064	5988.853455	4852.386475	1778.087322	0.296899454	0.896933331	0.045064974	0.721573357	1.114910067	80.46556426	22.11422482	17.34696079	0.922355138	0.784425451
R01-051	309333676	270199994.3	-47696.35016	-1024	-234	146	543	-25.9610273	-2	167	1567	119.1037799	71.99173048	166.666759	164.6324197	-1.191804847	5.493037414	27103.83361	277336	11207.02711	9727.188832	2509.935597	0.223960875	0.964898937	0.050283051	0.898349819	1.036377968	95.03370383	25.41529231	22.07667895	0.974917136	0.868637617
R01-052	719656479	1098108641	-31226.82565	-872	-598	50	462	-159.5270745	-22	356	1334	215.1245329	159.1861389	300.3416787	254.472467	-1.063783492	2.784036414	64756.23648	200202	14345.04191	12173.46191	3152.492987	0.219761853	0.905658657	0.045724155	0.742837174	1.104168764	111.9783915	33.27213967	22.48401205	0.768986579	0.67576093
R01-053	759415227	732375739.8	-10896.28597	-865	-691	4	45	-331.6352997	-319	523	910	239.3924501	203.5695071	425.8809067	267.1938896	-0.137495173	1.597274427	71392.57466	31659	4844.956513	4037.919169	1501.739271	0.309959288	0.922039463	0.046970279	0.783878092	1.084552279	75.55824242	24.03124091	16.06997789	0.697136097	0.668711947
R01-054	13634371375	14979167770	-3258348.639	-1024	-277	117	1607	-21.566742	37	98	2631	126.175307	49.60880116	200.7031835	199.5410822	-2.351630922	8.633572918	39816.6435	413977201	439792.0532	371859.7412	28791.222	0.065465535	0.971379524	0.050790477	0.916572523	1.029463742	341.5846573	91.37315209	75.14739124	0.83287122	0.822423103
R01-055	2241362603	1608959539	-31285.65296	-1024	-908	124	890	-283.6797087	-96	705	1914	362.7512182	299.2096343	493.5583974	403.8882451	-0.476009589	1.805467222	163125.7145	280421	9763.581552	6604.927067	2472.224587	0.253208781	0.893584531	0.044812827	0.713521273	1.119088307	102.3166471	27.87984581	19.11076546	0.729651512	0.685468836
R01-056	8660565467	7284746248	-172080.6764	-1024	-901	155	859	-283.5232582	-104	765	1883	376.876293	316.0494276	503.834273	416.4895397	-0.400963065	1.68660646	173463.5367	2427327	62127.70487	28697.16551	9461.953888	0.152298462	0.801727605	0.0380837	0.51532417	1.247306434	223.8802484	67.08513073	30.7462159	0.501879971	0.458316404
R01-057	836989582	638572374	-7789.783734	-901	-751	-84	81	-420.6942242	-415.5	429.25	982	214.6174949	173.6443931	486.7990015	244.9278211	0.026081826	1.77842402	59989.63753	18046	3338.750203	2694.702148	1149.863827	0.344399478	0.93949325	0.04831026	0.82924143	1.064403603	65.43424658	17.59546335	14.12583147	0.935114628	0.802810996
R01-058	770447196	1175609125	-6502.66133	-871	-746	-86	46	-431.6106138	-444.5	432.25	917	214.5566339	173.8235177	496.2929058	244.9876046	0.138399287	1.775573308	60018.92638	14790	4811.604818	4772.949219	1553.07227	0.322776356	0.887467436	0.044353461	0.698967977	1.126801908	76.84323531	27.1905612	15.22888208	0.645482011	0.560079727
R01-060	486795750	409463276.6	-2386.573101	-1024	-815.6	4	432	-413.2493298	-432	473	1456	254.1913131	195.2868672	510.8977275	300.402196	0.086253268	2.082020544	90241.47939	5261	2073.269341	1568.72567	868.4695644	0.418888924	0.90538509	0.045703439	0.742164223	1.104502394	56.83761562	16.35425465	10.12309023	0.974126918	0.618988174
R01-061	509473081	777394227.6	-6952.308949	-866	-674	3	52	-315.9212521	-301	520	918	234.4796454	201.4132589	409.7144427	260.8825158	-0.159710482	1.562075679	68059.68704	18865	5658.213298	4631.04248	1788.133452	0.316024398	0.85875723	0.042218664	0.633302525	1.164473456	87.76967372	24.93921146	14.5638876	0.838039694	0.583975465
R01-062	138517963	127873790.9	-2418.655191	-1024	-513.8	127	467	-125.9585087	-48	314	1491	204.3181154	136.3258025	288.6070419	259.6699419	-1.072613658	3.785636937	67428.47874	5533	1902.164459	1535.209656	823.5204415	0.432938612	0.901519481	0.045411051	0.732698577	1.10923837	55.86784245	16.09268388	11.63517417	0.850530558	0.723010174
R01-063	881416275	741394303.4	-17781.43662	-1024	-747	100	359	-198.8578374	-33	519	1383	285.6732632	221.2988176	384.401708	328.9684386	-0.85108343	2.314151857	108220.2336	66327	5891.763513	5017.398723	1686.187766	0.286194068	0.935567359	0.048007763	0.818889278	1.068870125	79.28529424	23.16213659	16.40799605	0.836388742	0.708397344
R01-064	124440115	94940273.28	-1057.351812	-1024	-598.4	148	415	-154.4197643	-55	437	1439	248.5394847	182.2543355	335.8864201	298.2854734	-0.80583352	2.822032343	88974.22362	2531	989.151001	841.5222168	532.8776952	0.538722293	0.900945068	0.045367656	0.731298927	1.109945584	44.75301142	14.1678055	8.93741679	0.800949654	0.630825768
R01-065	4371364498	2701420016	-1183637.115	-1024	-156	172	752	4.341185081	24	161	1776	114.509522	67.67386054	172.1125007	172.0577433	-2.138495217	12.06756323	29603.86702	49651578	115570.7817	91194.21387	12946.40708	0.112021455	0.886271736	0.044263854	0.696146588	1.128322115	225.250349	65.65652697	35.20449459	0.907398901	0.536191849
R01-066	3760488037	4962832178	-174936.8695	-989	-671	51	192	-201.3716169	-47	455	1181	245.9693986	194.2715506	346.0316252	281.4024832	-0.853435034	2.236615928	79187.35757	2233744	58038.90705	41447.46971	7950.207723	0.136980659	0.911839634	0.046193043	0.758150449	1.096684069	183.007167	53.5605047	34.04671513	0.741819471	0.635668303
R01-067	415393753	408264829.3	-30964.11488	-1024	-361.8	119	596	-58.9226849	8	164	1620	152.506664	80.3236346	227.2306738	219.4581881	-1.976378864	7.495908175	48161.89632	165407	27663.45555	7906.933363	5915.229482	0.213828293	0.747796588	0.034306317	0.418167655	1.337262053	219.8322424	29.03111888	18.36662901	0.959413702	0.632653157
R01-068	87111753	70508550.76	-1268.968849	-1024	-516	185.4	393	-62.8820059	35	241	1417	213.6088617	122.2730834	292.6697929	285.8346743	-1.510221805	4.715226534	81701.461	3047	894.930387	823.1632833	507.5420151	0.567130162	0.884854019	0.044157687	0.692811174	1.130129918	41.98147348	14.47396267	8.912827966	0.713102006	0.61578354
R01-069	54737421431	55469804377	-3030660.452	-1024	-744	103	1923	-215.489523	-80	507	2947	279.078644	213.56397	391.5314943	326.8962779	-0.717907014	2.511919294	106861.1765	167782198	586007.7026	361845.5348	38083.47525	0.064988011	0.889234769	0.044486018	0.703152144	1.124562416	359.3831029	104.1032974	66.24002691	0.865102954	0.636291343
R01-070	262519911	203302177.7	-831.3602089	-1024	-814.2	145.2	853	-317.544949	-296	672	1877	336.4354064	275.9674181	493.253757	377.4446636	-0.07368062	1.818290376	142464.4741	2207	1258.570925	835.6053913	632.5703465	0.502610011	0.891169727	0.044631298	0.707752277	1.122120703	52.47881681	15.30445668	8.480920617	0.752368463	0.554147122
R01-071	739738390	536509910.1	-5755.3418	-1024	-869	128.1	409	-294.3954545	-155.5	731	1433	355.1104309	299.1561866	490.0763226	391.7985685	-0.376477889	1.656837812	153506.1183	16350	2954.507293	2233.830897	1089.79661	0.368859001	0.91368266	0.046333163	0.762756906	1.094471904	62.94418808	19.44717688	11.85574994	0.808477435	0.609638613
R01-072	514393506	317885391.1	-4608.781149	-1024	-788	161	416	-233.8762358	-122	613	1440	319.0906766	253.8835163	433.9971609	365.5891711	-0.533133336	2.031169007	133655.442	12209	2449.676514	1687.705994	1006.183554	0.410741397	0.873399091	0.043303	0.666251511	1.144951959	63.99768062	19.38019611	9.626993249	0.886095184	0.496743851
R01-073	555318517	610091144.2	-4375.876902	-1024	-797	78	473	-304.5544666	-243	618	1497	301.125926	246.0986851	457.511961	341.414369	-0.353734439	1.834331088	116563.7713	10099	5115.41748	2914.672852	1624.417059	0.317553174	0.883840649	0.044081852	0.690433595	1.131425671	82.37205989	27.22959375	11.6773886	0.703110336	0.428849167
R01-074	5386175414	2095959018	-104114.6506	-1024	-774	110.6	646	-315.6120041	-330	603	1670	301.8211089	238.2984533	470.558716	349.0194379	0.12112134	2.023759506	121814.5681	524719	20035.74573	9465.752605	4099.144702	0.204591571	0.870284435	0.04307157	0.659149077	1.149049621	139.3713639	33.51877405	19.34760384	0.791535783	0.57721693
R01-075	11032357403	4309514611	-478970.6908	-1024	-754	54	229	-228.9095757	-31	541	1253	284.4705879	232.0435654	393.9786358	320.6549105	-0.775193891	2.073165588	102819.5716	13388704	85987.5	27764.0625	11276.39437	0.131139926	0.835482614	0.040513989	0.58319293	1.196912998	246.3262572	68.66826004	27.93315129	0.511626523	0.406784026
R01-077	6494589810	5462857931	-106338.1991	-1024	-855	67	436	-385.5730169	-378	638	1460	305.1944932	249.7543592	519.076424	347.5252258	-0.075251212	1.731007223	120773.7826	627882	40484.05709	20274.833	6565.876767	0.162184258	0.868388539	0.042930901	0.654850629	1.151558266	166.4226774	53.53192795	24.04030158	0.618760118	0.449083426
R01-079	1129389824	1028398551	-16203.39619	-1024	-708	91	697	-295.010996	-282	503.5	1721	259.4063099	201.2855686	424.243376	304.8785894	-0.030704978	2.199120202	92950.9543	41971	8173.204023	5713.882304	2476.927876	0.303054698	0.792195413	0.037406525	0.497160906	1.262314806	115.0561872	40.37549478	14.86490642	0.514324117	0.368166545
R01-080	794787346	858687956.5	-5978.481722	-1024	-728.8	-130.2	505	-461.9872183	-493	307	1529	184.3399738	127.2921018	517.0446127	232.1700705	0.584293276	3.156323399	53902.94165	14233	4491.041353	3212.028213	1441.276395	0.320922539	0.913345065	0.046307486	0.761911731	1.094876447	79.38051623	22.26722368	14.73692111	0.753760137	0.661821218
R01-081	1545914300	368044519.2	-13862.63809	-982	-752.8	-237.2	103	-526.4153185	-562	265	1085	158.9252506	110.8986854	562.6642796	198.6907246	0.725345783	3.064036247	39478.00404	41329	1504.756983	1162.523273	751.9398504	0.499708497	0.84452388	0.041173404	0.602331815	1.18409914	56.16779026	16.61138532	8.057956916	0.836001088	0.485086389
R01-082	684134684	663535876.9	-5383.170838	-1024	-773.1	86	383	-332.2876623	-327	610	1407	294.5892545	240.1378475	471.2978365	334.2253134	-0.101618469	1.799679509	111706.5601	12534	3814.095416	2987.263543	1321.705035	0.346531717	0.893190199	0.044783167	0.712577077	1.11958237	75.08154261	24.03128277	13.25407703	0.617794539	0.551534313
R01-083	418038007	637875376.9	-1877.403839	-944	-834.7	-10	29	-438.3844567	-472	608.75	973	275.8114039	235.5363528	536.1986066	308.7523503	0.094500893	1.557569878	95328.01382	4256	2966.81722	2218.62793	1138.745756	0.383827405	0.876835008	0.043558779	0.674145503	1.140465414	67.32108812	24.52750609	10.90907091	0.589809213	0.444768859
R01-084	2479291013	1948722178	-49283.38821	-1024	-802	115	1080	-242.9417689	-93	598	2104	311.8030782	244.2187478	433.2894419	358.7743545	-0.612045208	2.149506343	128719.0374	249588	15601.17845	10379.91297	3428.134406	0.219735606	0.880774136	0.043852636	0.683272056	1.135364856	112.6700831	30.14906019	23.29506698	0.849976955	0.772663123
R01-085	592180540	451797897.3	-2708.592494	-981	-838.6	-3	105	-467.1847411	-550	640	1086	292.7434531	252.5729418	568.0793877	323.1912876	0.288841642	1.531142232	104452.6084	5973	1613.108317	1399.993896	725.3631132	0.449667952	0.917003538	0.046585997	0.771104139	1.090508333	53.78723274	17.25256098	10.2066367	0.695337752	0.591601253
R01-086	5959407423	4546667040	-97903.77447	-1024	-878	205	2671	-282.0167482	-186	757	3695	373.5744417	306.2642146	507.8433344	422.3403913	-0.129050833	2.266299036	178371.4061	851167	44069.79879	17629.24194	6931.930891	0.157294362	0.870410147	0.043080903	0.65943476	1.148883665	174.7836274	47.90536121	26.54112482	0.655376182	0.554032454
R01-087	1574128735	1200964916	-12325.73066	-1024	-803	-76	691	-500.0633976	-542	313	1715	208.0275163	137.2807949	568.2996139	270.0019436	0.825486191	3.611527311	72901.04953	34232	5663.935343	3718.566895	1660.884373	0.293238583	0.92517435	0.047210027	0.791900743	1.080877351	79.58694636	22.66890004	15.82400556	0.757083969	0.698049113
R01-088	13898196646	10603482549	-212319.3026	-1024	-917	152	1658	-401.436502	-479	834	2682	376.8928294	318.818252	581.2075514	420.298647	0.198357774	1.663047243	176650.9527	2797135	61332.19401	31389.61792	8349.545652	0.136136425	0.90076938	0.045354387	0.730871192	1.11016207	194.7617234	41.78194409	32.83101032	0.973325282	0.78577029
R01-090	10590583622	7369142776	-1995170.841	-1024	-217	181	956	0.999685018	50	153	1980	138.8969185	67.30589235	213.7674825	213.765145	-2.126259622	8.002770164	45695.53721	126139327	187939.3233	161262.6168	16820.30752	0.089498606	0.943326349	0.048606217	0.839432725	1.06007852	238.8244595	69.73602932	50.90921818	0.933353916	0.730027486
